#Wed Jun 24 17:06:50 2026
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               3               0
              18            -3.9           44.34
              19           26.46           12.59
              20          -28.14           11.99
              21          -30.81            7.47
              22          0.8643           16.34
              23           33.38           8.827
              24          -15.38           11.45
              25          -49.37           8.408
              26           11.77           10.98
              27           39.86           9.145
              28          -25.12           8.698
              29          -18.21           16.51
              30            6.98           10.45
              31           35.95           10.83
              32          -14.07           17.72
              33          -12.37           8.544
              34           9.848           12.22
              35           35.88           12.32
              36          -33.29           11.65
              37          -16.38            8.27
              38          -5.354           14.25
              39           33.69           9.852
              40          -27.74           10.81
              41          -14.45           7.677
              42           18.88           15.83
              43           43.65            9.64
              44           -40.7           11.17
              45          -24.37           8.785
              46            11.5           10.42
              47           56.31           11.02
              48           -21.8           19.34
              49          -29.28           7.749
              50          -5.578           30.94
              51           25.57           9.052
              52          -33.05            12.3
              53          -21.36           7.791
              54          -19.89           16.16
              55           35.17           9.558
              56          -17.19           12.06
              57          -8.789           9.595
              58           2.029           11.89
              59           28.09            9.96
              60          -22.01           8.606
              61          -29.85           18.05
              62           22.43           9.257
              63           55.62           12.64
              64          -51.49           13.09
              65           -4.18           7.855
              66          -2.608           25.81
              67           24.75           14.61
              68             -48           11.87
              69          -19.88           7.817
              70           8.507           18.35
              71           43.38           11.01
              72          -17.88           9.933
              73          -18.08             7.5
              74           18.35           12.03
              75           45.48            9.57
              76          -34.12           8.206
              77           4.574           8.189
              78           9.456           10.14
              79           44.89           10.59
              80          -20.72              17
              81          -28.31           8.236
              82          0.8988           23.59
              83           32.56           8.827
              84          -37.84            12.7
              85          -25.38            7.34
              86           5.266           11.15
              87           32.23           8.183
              88          -32.09           9.697
              89          -24.44           13.22
              90           4.862           9.847
              91           41.48           9.213
              92          -15.87           7.927
              93           -14.1           24.83
              94           9.456           10.12
              95           54.93           10.88
              96          -14.85           13.86
              97          -12.98           7.948
              98           12.04           18.78
              99           10.59            13.3
             100           -29.3           11.38
             101          -21.57           7.909
             102           5.973           15.09
             103           37.22           9.439
             104          -13.55           8.997
             105          -7.655           11.16
             106           20.82           13.62
             107           49.94           9.658
             108          -37.32           8.497
             109          -22.41           8.146
             110           28.43           15.52
             111           59.97            11.3
             112          -24.06           17.97
             113          -18.77            7.55
             114          -1.559           22.01
             115           34.08           8.221
             116          -24.01            11.5
             117           -34.8            7.81
             118        -0.05367           12.93
             119           45.09           9.484
             120          -7.627           9.897
             121          -46.84           11.43
             122           11.14           8.918
             123            46.7           10.09
             124          -27.04           7.679
             125          -28.78           29.15
             126            15.9           8.041
             127           101.1            12.1
APV                2              13               3               6
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           26.42           11.94
               8           -66.9           14.12
               9           -12.5           8.447
              10           26.74           7.128
              11           45.22           13.76
              12          -53.46            12.3
              13           12.53            6.66
              14           24.11           7.921
              15           37.25           17.08
              16          -23.74           14.24
              17          -43.53           9.997
              18          -5.982           9.401
              19           17.19           9.723
              20          -65.55           14.21
              21          -23.36           8.477
              22            8.59           6.493
              23           34.29           12.06
              24          -41.64           12.46
              25          -19.43           7.224
              26            14.1           7.176
              27           35.03              15
              28          -52.99           10.41
              29          -15.08           6.583
              30            36.7           9.018
              31           60.91            18.5
              32          -43.97           15.01
              33          -36.64           9.787
              34           6.455           6.611
              35           9.378           9.748
              36          -54.52           14.79
              37          -33.76           8.322
              38           29.22           6.892
              39           32.73           12.63
              40          -59.68           12.79
              41          -11.35           7.556
              42           26.12           7.771
              43           35.43           15.66
              44          -50.44           10.04
              45           2.572           7.228
              46           21.34           8.433
              47           75.38           19.43
              48          -36.54           14.45
              49          -47.79           8.835
              50           24.99           8.087
              51           21.14           10.49
              52          -28.92           14.41
              53          -39.79           7.722
              54           1.841           6.973
              55           29.72           13.74
              56          -49.27           11.66
              57          -31.45           6.738
              58           18.09           8.071
              59           47.74           16.47
              60          -29.34           9.425
              61          0.8987           6.727
              62           23.09           9.217
              63           80.32           20.26
              64          -43.81            14.2
              65          -33.22           11.46
              66           11.01           8.697
              67           36.39           8.551
              68           -43.1           15.02
              69           -23.2           8.931
              70           24.31           7.153
              71           48.41           11.17
              72          -46.25           13.86
              73          -14.14           8.143
              74           19.62           6.992
              75           65.96           14.28
              76          -39.74           11.58
              77         -0.3058           7.086
              78           23.11           7.669
              79           70.58           17.53
              80          -34.81           15.25
              81          -16.01           10.87
              82          -3.993           7.088
              83           13.16           9.243
              84          -76.42           14.78
              85          -23.29           8.915
              86           4.371           6.072
              87           27.44           11.67
              88          -58.91           12.31
              89          -10.02           7.242
              90           22.02           7.056
              91            74.9           15.26
              92          -41.24           10.48
              93          -9.904            6.98
              94           36.85           13.37
              95           74.05           18.41
              96          -37.15           14.66
              97          -47.18           10.02
              98            18.2           7.864
              99           29.49           9.917
             100          -44.25           14.68
             101          -31.43           8.583
             102           19.93           6.936
             103           33.27           12.53
             104          -36.81           12.31
