#Thu Jun 25 12:06:54 2026
# Copy this file into $DB_DIR/gemped to use these pedestals for analysis
# format = crate, slot, mpd, adc_ch, CM mean, CM RMS
           2          13           5           0         496.64         7.1852
           2          13           5           1         658.91         6.9544
           2          13           5           2         679.06         6.6519
           2          13           5           3          464.9         5.7622
           2          13           5           4         675.19         8.0978
           2          13           5          10         586.44          11.83
           2          13           5          11         540.19         11.624
           2          13           5           5         679.77         7.7417
           2          13           5           6         505.26         7.2634
           2          13           5           7         605.36         6.0413
           2          13           5           8         614.65         7.1721
           2          13           5           9         565.46          6.845
           2          13           5          11         540.19         11.624
           2          13           5          12         653.51         13.869
           2          13           6           0          749.1         7.0032
           2          13           6           1         583.66         6.4823
           2          13           6           2         690.52         6.8854
           2          13           6           3         644.31         6.9761
           2          13           6           4         626.72         8.3767
           2          13           6          10         573.57         12.422
           2          13           6          11         479.74         11.922
           2          13           6           5         611.89         7.4048
           2          13           6           6         608.11         7.5551
           2          13           6           7         715.96         7.6114
           2          13           6           8         629.36         6.5745
           2          13           6           9         544.34         6.7434
           2          13           6          11         479.74         11.922
           2          13           6          12         533.45         14.107
           2          13           7           0         647.66         7.5359
           2          13           7           1         714.39         7.0999
           2          13           7           2         615.21         6.2096
           2          13           7           3         572.38         6.8814
           2          13           7           4         418.06          8.309
           2          13           7          10          595.2         12.784
           2          13           7          11         702.13         18.413
           2          13           7           5         489.53         8.8437
           2          13           7           6         729.92         9.1778
           2          13           7           7         694.71         8.1143
           2          13           7           8         512.82         7.1512
           2          13           7           9         480.44         6.8322
           2          13           7          11         702.13         18.413
           2          13           7          12         570.28         18.891
           2          13           3           0         623.33          38.53
           2          13           3           2          580.2         57.663
           2          13           3           4         592.64         55.613
           2          13           3           6          545.8         15.247
           2          13           3           8          630.5         18.636
           2          13           3           1         532.97         21.648
           2          13           3           3         558.05         22.351
           2          13           3           5         551.71         19.491
           2          13           3           7         454.16         45.237
           2          13           3           9          432.6          19.85
           2          13           2           0         705.79         32.154
           2          13           2           2         641.11         20.861
           2          13           2           4         598.84         16.564
           2          13           2           6         642.84         15.552
           2          13           2           8         555.84         18.606
           2          13           2           1         549.23         15.342
           2          13           2           3         629.91         14.339
           2          13           2           5         633.66         19.243
           2          13           2           7         605.39         20.669
           2          13           2           9         480.75         28.503
