#Wed Jun 24 17:06:50 2026
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = crate, slot, mpd, adc_ch, CM min, CM max
           2          13           3           0         430         821
           2          13           3           2         288         877
           2          13           3           4         306         879
           2          13           3           6         470         628
           2          13           3           8         537         730
           2          13           3           1         423         644
           2          13           3           3         445         674
           2          13           3           5         455         656
           2          13           3           7         222         688
           2          13           3           9         333         537
           2          13           2           0         543         876
           2          13           2           2         537         752
           2          13           2           4         514         686
           2          13           2           6         567         728
           2          13           2           8         465         654
           2          13           2           1         473         631
           2          13           2           3         558         707
           2          13           2           5         538         734
           2          13           2           7         500         714
           2          13           2           9         335         627
