#Wed Jan 28 01:49:28 2026
# Copy this file into $DB_DIR/gemped to use these pedestals for analysis
# format = crate, slot, mpd, adc_ch, CM mean, CM RMS
           2          13           0           0         613.22         73.823
           2          13           0           2         579.84         43.277
           2          13           0           4         522.44         36.893
           2          13           0           6         567.84         14.797
           2          13           0           8         489.57         19.728
           2          13           0           1            465         22.924
           2          13           0           3         542.01         40.441
           2          13           0           5         578.88         27.288
           2          13           0           7         569.24          40.25
           2          13           0           9         504.32         44.371
           2          13           1           0          569.7         79.101
           2          13           1           2         627.89         53.393
           2          13           1           4         586.01         38.401
           2          13           1           6         550.81         32.963
           2          13           1           8         645.84         48.342
           2          13           1           1         546.83         32.301
           2          13           1           3         572.55         20.654
           2          13           1           5         571.43         32.674
           2          13           1           7         464.89         51.892
           2          13           1           9         609.03         100.92
           2          13           2           0         736.03         44.901
           2          13           2           2          700.9          39.25
           2          13           2           4         672.38         36.551
           2          13           2           6          624.7         33.492
           2          13           2           8         718.08         26.761
           2          13           2           1         654.14         20.004
           2          13           2           3         677.94         12.109
           2          13           2           5         693.51         41.445
           2          13           2           7         582.61         71.471
           2          13           2           9         631.79         46.082
           2          13           3           0         645.11          44.75
           2          13           3           2         671.19         65.956
           2          13           3           4         702.32          50.98
           2          13           3           6         645.46         17.365
           2          13           3           8         599.72         24.368
           2          13           3           1         704.29         26.151
           2          13           3           3         626.57         19.618
           2          13           3           5         639.51         38.865
           2          13           3           7         650.97         76.514
           2          13           3           9         598.37         41.024
