#Wed Jan 28 01:49:28 2026
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = crate, slot, mpd, adc_ch, CM min, CM max
           2          13           0           0         244         982
           2          13           0           2         363         796
           2          13           0           4         337         706
           2          13           0           6         493         641
           2          13           0           8         390         588
           2          13           0           1         350         579
           2          13           0           3         339         744
           2          13           0           5         442         715
           2          13           0           7         367         770
           2          13           0           9         282         726
           2          13           1           0         174         965
           2          13           1           2         360         894
           2          13           1           4         393         778
           2          13           1           6         385         715
           2          13           1           8         404         887
           2          13           1           1         385         708
           2          13           1           3         469         675
           2          13           1           5         408         734
           2          13           1           7         205         724
           2          13           1           9         104        1113
           2          13           2           0         511         960
           2          13           2           2         504         897
           2          13           2           4         489         855
           2          13           2           6         457         792
           2          13           2           8         584         851
           2          13           2           1         554         754
           2          13           2           3         617         738
           2          13           2           5         486         900
           2          13           2           7         225         939
           2          13           2           9         401         862
           2          13           3           0         421         868
           2          13           3           2         341        1000
           2          13           3           4         447         957
           2          13           3           6         558         732
           2          13           3           8         477         721
           2          13           3           1         573         835
           2          13           3           3         528         724
           2          13           3           5         445         833
           2          13           3           7         268        1033
           2          13           3           9         393         803
