#Wed Jan 28 01:49:28 2026
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               0               0
              18            6.47           25.68
              19           19.41           9.415
              20          -39.65           12.95
              21           -27.9           7.505
              22           6.807           11.58
              23           32.06           9.151
              24          -60.36           11.12
              25          -23.26           7.419
              26           28.91           8.957
              27           41.47            10.1
              28          -42.27             8.9
              29          -6.787           10.35
              30           28.02           8.582
              31           56.07           11.41
              32          -52.35              15
              33          -32.77           8.219
              34           27.63           9.473
              35           41.84           10.15
              36          -59.39           12.55
              37          -18.94           7.411
              38           15.33           10.22
              39           45.04           10.09
              40          -54.31           10.31
              41          -12.91           6.879
              42           24.15           10.06
              43           41.08           10.59
              44          -46.68           8.934
              45           11.73           7.499
              46           33.32           8.967
              47           45.77           11.69
              48          -59.72           16.51
              49          -29.49            8.13
              50           10.37           18.52
              51           24.64           9.031
              52          -51.69           12.64
              53          -17.15           7.237
              54            32.8           10.16
              55           36.46           9.659
              56          -62.32           10.31
              57          -15.65            8.05
              58           33.63           8.927
              59           32.63            10.6
              60           -34.3           8.203
              61           0.403           12.65
              62           35.17           8.837
              63            58.1           12.71
              64           -50.2           13.31
              65          -42.44             8.3
              66           25.11           14.99
              67           39.94           10.56
              68          -46.75           12.54
              69          -13.59           7.342
              70           16.09           11.12
              71           43.66           9.662
              72          -48.19              11
              73          -13.34           6.891
              74            55.6           9.597
              75           40.16           10.09
              76           -42.1           8.876
              77           9.063           7.031
              78           20.78           8.671
              79           41.08           11.34
              80          -46.11           15.79
              81          -33.39           8.396
              82           18.78           14.89
              83           28.86           8.126
              84          -58.06           12.91
              85          -9.133           7.551
              86           23.21           8.989
              87           44.49           8.946
              88          -66.46           10.42
              89          -11.14           9.002
              90           31.89           8.111
              91           36.48           10.06
              92          -42.73            8.61
              93           2.945           14.66
              94           16.12           8.191
              95           69.59           11.58
              96          -50.79           13.76
              97           -35.7           7.812
              98           9.549           12.14
              99            5.52           10.39
             100          -63.65           12.14
             101          0.8032           7.442
             102           31.48           9.714
             103           46.84           9.709
             104          -33.32           10.01
             105          -18.24           7.902
             106           22.73           9.103
             107            46.9           10.53
             108          -40.06           8.246
             109          -15.04           7.155
             110           32.41           10.05
             111           57.77            11.8
             112          -48.54           15.45
             113          -41.41           7.844
             114           5.983           12.83
             115           26.02           8.559
             116          -62.03           11.99
             117          -12.36           7.314
             118           28.01           8.709
             119           28.48           9.403
             120           -41.6           9.583
             121          -3.838           9.049
             122           34.43           8.127
             123           33.85           10.52
             124          -43.41           7.962
             125          -14.26           18.97
             126           35.97           8.502
             127           62.03           12.59
APV                2              13               0               6
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           25.31           9.628
               8          -48.57           11.27
               9          -40.31           7.585
              10           3.566           7.401
              11           46.11           10.48
              12           -47.9           10.51
              13          -20.76           6.839
              14           29.63           7.543
              15           57.83           12.04
              16           -21.6           11.79
              17          -30.66           8.589
              18          -35.27            10.8
              19           17.22           8.428
              20          -56.99           11.05
              21          -49.78           7.708
              22          -30.39           7.232
              23           32.85           9.201
              24          -34.56           10.82
              25          -35.37           7.207
              26           10.31           7.378
              27              55           10.73
              28          -55.25           8.997
              29          -20.56           10.95
              30           -5.42           7.632
              31            77.7           12.51
              32          -22.36           12.25
              33          -44.32            8.89
              34           9.531           7.249
              35           50.23           8.381
              36          -60.72           11.31
              37          -32.22           7.649
              38          -6.268           7.309
              39           35.63           9.778
              40          -63.19           10.64
              41          -14.83           7.225
              42           19.52           7.872
              43           59.96            11.4
              44          -26.93           9.196
              45           12.07           7.509
              46           36.73           7.754
              47           74.88           13.45
              48           -51.6           11.78
              49          -25.06           8.261
              50          0.6613           8.953
              51           12.33           8.654
              52           -46.4           11.02
              53          -28.92           7.506
              54          -6.703           7.292
              55           67.69           10.06
              56          -29.99           9.723
              57          -10.49            7.03
              58          -2.437           7.646
              59           56.25           11.43
              60          -46.32           8.199
              61          -30.45            7.56
              62           27.21           8.132
              63           91.34           14.11
              64          -44.26           10.85
              65          -34.43           9.093
              66          -16.23           8.741
              67           31.55           7.932
              68          -47.61           11.75
              69          -22.17           8.055
              70          -7.848           7.563
              71           33.77             9.3
              72          -52.16           11.11
              73          -14.99           7.502
              74            15.1           7.179
              75           71.38           10.91
              76          -35.41           9.509
              77          -15.22           6.975
              78           32.41           7.327
              79           73.59           12.68
              80          -44.52           11.65
              81          0.7021           8.845
              82         -0.4512           7.913
              83           53.34           8.259
              84          -46.79           11.48
              85          -13.38           7.913
              86           -13.3           6.719
              87           51.93           9.343
              88          -58.39           10.23
              89          -19.54           7.341
              90            19.9           7.238
              91           69.17           11.03
              92          -43.94           8.766
              93          -5.454           7.792
              94           45.89           7.559
              95           103.5           12.98
              96          -53.44           11.37
              97          -33.62           8.575
              98          -6.062           8.075
              99           44.18           9.128
             100          -58.07           11.62
             101          -20.39           7.734
             102           21.05           7.342
             103           50.33           10.01
             104          -58.84           10.71
             105          -12.79           7.596
             106           31.11           7.467
             107           67.08           11.61
             108          -41.36           8.817
             109          -8.393           7.259
             110           41.25           7.865
             111           87.72            13.6
             112          -43.85           11.64
             113          -24.68           8.357
             114           8.749           7.597
             115           31.71           8.669
             116          -65.28           10.84
             117           -26.5           7.362
             118          -10.52           6.811
             119           49.12              10
             120          -35.93           9.652
             121             -31           6.962
             122           26.02           7.469
             123           84.52           11.68
             124          -40.76           8.222
             125          -8.144           8.781
             126           33.29           8.102
             127           110.4           14.19
APV                2              13               0               8
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           24.28           7.238
               8          -44.75            7.83
               9          -2.004           6.595
              10           6.051           7.208
              11            25.6           7.192
              12          -45.38           7.395
              13          -18.91           5.888
              14           34.99           6.587
              15           53.58           8.182
              16          -30.71           8.754
              17          -24.07           6.662
              18          -6.199           11.63
              19           22.95            7.14
              20          -46.67           7.814
              21          -15.91           6.135
              22           21.65           7.061
              23           28.49           7.101
              24          -52.01           7.309
              25          -28.58            6.05
              26           15.53            6.03
              27           47.98           7.684
              28          -52.26           6.372
              29          -13.14           6.268
              30           12.25            6.36
              31           71.56           8.835
              32          -35.38           8.863
              33          -26.33           6.825
              34           3.585           6.931
              35            14.1           6.609
              36          -53.44           8.157
              37          -28.01           6.205
              38           15.48           7.058
              39           56.06           7.151
              40          -55.01           7.299
              41          -25.93           6.049
              42          -2.455           6.987
              43           45.72           7.886
              44          -38.58           7.092
              45           1.774           6.721
              46           10.14           6.238
              47           58.12           9.213
              48          -41.43           8.943
              49          -31.93           6.389
              50           10.38           8.721
              51           36.21           6.931
              52          -48.03           7.569
              53          -33.84           5.873
              54          -7.343           6.199
              55           29.41           7.316
              56          -51.88           6.938
              57          -14.81           5.807
              58           4.582           6.156
              59           75.24           8.274
              60          -24.08           5.989
              61          -35.97           6.737
              62            35.1           6.556
              63           61.83           9.388
              64          -42.02           8.468
              65           -15.7           6.853
              66          -10.34           8.662
              67           2.278           6.779
              68          -49.82           8.363
              69          -29.73           6.261
              70           2.539           7.418
              71           32.95           6.993
              72           -32.7           7.824
              73          -14.49           6.112
              74         -0.7023           6.684
              75           33.98           7.488
              76          -30.99           6.914
              77           10.04           6.241
              78           17.62           6.265
              79           76.48           8.841
              80          -53.74           8.789
              81          -15.49           6.687
              82           2.649           7.388
              83           29.65           6.402
              84          -57.51           7.999
              85           -28.9            6.11
              86           15.58           5.988
              87           32.25           7.016
              88          -24.57           7.303
              89          -19.57           6.182
              90            13.7           5.933
              91           72.61           7.936
              92          -36.75           6.337
              93          -31.83            7.37
              94           17.47           6.279
              95           100.8            9.39
              96          -52.28           8.453
              97          -13.57           6.702
              98          -5.505           7.974
              99           26.77            7.31
             100          -51.34           8.118
             101          -20.66           6.208
             102           21.22           7.094
             103           31.99           7.185
             104           -40.1           7.529
             105          -27.58            7.06
             106           21.35           6.702
             107           55.88           8.034
             108          -28.69           6.631
             109           -14.5           6.515
             110           26.57           6.722
             111           100.4           9.725
             112          -44.44            8.61
             113          -8.737           6.491
             114           13.18            6.87
             115           26.54           6.618
             116          -45.12           7.607
             117          -11.93           5.869
             118           12.23           5.766
             119           37.72           7.326
             120          -46.37           6.812
             121          -22.03               6
             122           4.844            5.86
             123           53.97           8.342
             124          -16.47           6.056
             125           -10.1           8.596
             126           46.17           6.443
             127           127.6           10.38
APV                2              13               0               1
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           51.05           12.13
               8          -35.83           11.22
               9          -36.11           7.901
              10          -2.433           10.19
              11           53.71           13.59
              12          -32.49           10.27
              13          -14.13           6.775
              14           6.436           9.322
              15           68.06            15.7
              16          -38.14           11.87
              17           -39.2           9.224
              18          -8.856              13
              19           4.097           8.844
              20          -42.51           11.72
              21          -26.27           8.701
              22          0.9927           7.001
              23           37.13           10.63
              24          -35.98           11.16
              25          -33.13           7.997
              26           -6.98           6.865
              27           58.71           13.21
              28          -18.11           10.18
              29           -38.3           7.133
              30           24.26           7.817
              31           92.12           16.17
              32          -32.06           12.49
              33           -35.6           8.864
              34           2.457            9.73
              35            17.8           11.23
              36          -45.07           11.52
              37          -12.02           7.862
              38           1.956           9.656
              39           37.27           12.46
              40          -41.58           10.29
              41          -22.18           7.804
              42           14.84           10.23
              43           49.14           14.79
              44          -36.15           9.035
              45           -32.6           7.743
              46           42.48           9.379
              47           89.09           17.52
              48          -35.58           12.64
              49          -43.52           8.994
              50          -6.926           9.589
              51          -3.131           9.532
              52          -41.87              12
              53          -38.62            8.43
              54            1.44           6.711
              55           54.76           12.06
              56          -40.25           10.53
              57          -27.95           7.102
              58           -4.68           7.395
              59           54.28           14.35
              60          -43.83           9.195
              61          -17.22           7.443
              62           14.49           8.545
              63           80.72           17.41
              64          -55.34           11.84
              65          -38.77           9.689
              66          -8.211            12.6
              67           17.33           10.45
              68          -14.77           12.36
              69          -24.84           8.439
              70           2.807           10.39
              71           36.27           11.47
              72          -37.27            11.1
              73          -10.82           8.122
              74           5.998           9.376
              75           56.76           13.72
              76          -20.71            10.2
              77          -18.46           6.937
              78           28.27           9.043
              79           110.4           16.33
              80          -46.61           13.01
              81          -30.29           10.06
              82          -12.63           8.072
              83           29.91           8.306
              84          -27.93           12.99
              85          -12.67           9.084
              86          -13.22           6.422
              87           45.96           10.63
              88          -27.12           11.22
              89          -21.26           7.628
              90           11.26           6.608
              91           67.65           13.49
              92           -39.9           9.993
              93          -23.45           8.174
              94           24.97           7.342
              95           108.8           16.64
              96          -33.25           12.37
              97          -45.02           8.619
              98         -0.4319           11.17
              99           7.233           11.12
             100          -45.31           11.85
             101          -29.66           7.836
             102          -7.473           9.214
             103           50.22           12.36
             104          -37.75           10.42
             105          -31.14           8.369
             106          -7.974           9.323
             107           75.94           15.01
             108          -19.65           9.489
             109          -23.61           7.367
             110           9.443           10.22
             111             128           17.84
             112          -37.28           12.77
             113          -36.36            9.17
             114          -11.38           7.329
             115           9.743           9.435
             116          -48.58           12.11
             117          -14.09           8.497
             118            -5.2           6.297
             119            35.4            11.8
             120          -26.75           10.39
             121          -29.43           7.165
             122            18.2           7.015
             123           67.79           14.61
             124          -18.17           9.444
             125          -17.19           9.441
             126           12.35           8.287
             127           161.3           18.86
APV                2              13               0               3
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           18.52            16.9
               8          -40.94           15.24
               9          -45.68            8.02
              10           -4.37           14.66
              11           33.21           18.12
              12          -38.29           12.86
              13          -19.51           7.333
              14           35.95            14.7
              15            65.8           17.88
              16          -37.28           17.99
              17          -43.37           12.54
              18          -29.92           25.72
              19           42.26           10.93
              20          -62.19           17.01
              21          -31.26           10.88
              22          -6.938              11
              23           41.18           13.15
              24          -31.38           15.09
              25          -38.49           9.059
              26           9.267           8.882
              27           81.43            15.5
              28           -49.6           12.87
              29          -22.93           10.92
              30          -2.435           9.944
              31           77.29           16.36
              32          -30.27           18.27
              33          -29.63           11.96
              34          -8.021           11.54
              35           15.88           16.63
              36          -57.45           15.71
              37          -31.99           9.726
              38          -4.155           13.84
              39           50.55           16.95
              40          -19.32           13.91
              41            7.72           7.879
              42           10.11           14.89
              43           78.86           17.86
              44          -54.55           12.95
              45          -1.077           7.974
              46           40.18           14.49
              47           81.77           17.16
              48          -54.32            18.3
              49          -48.54           11.61
              50           3.428           18.71
              51           37.37           11.62
              52          -20.31           16.73
              53          -43.16           9.637
              54          -14.37           9.481
              55           51.72           13.68
              56          -65.96           13.95
              57          -17.99           8.939
              58           12.86           9.322
              59           59.81            15.6
              60          -53.96           11.73
              61          -33.03            13.1
              62           8.062           10.78
              63           115.5           16.55
              64          -33.14           17.28
              65          -20.21           12.96
              66          -6.132            17.5
              67           26.18           16.56
              68          -43.89           16.85
              69          -9.154           10.86
              70          -2.209           14.18
              71           33.83           16.09
              72          -44.45           15.35
              73          -12.81           8.655
              74           9.918           13.03
              75           70.62           16.75
              76          -22.82           14.15
              77          -29.77           7.162
              78           24.49           13.83
              79           99.89           17.32
              80          -60.14           18.28
              81          -28.36           13.46
              82          -16.22           14.77
              83           36.41           10.45
              84          -32.21           18.06
              85          -34.89            11.7
              86          -3.978           8.752
              87           42.05           13.08
              88          -31.19           15.41
              89          -27.33           10.85
              90           4.057           8.147
              91           83.99           14.99
